ORNEK_NO,new_id,old_id,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,ENVANTER_TARIHI,AKTUEL_MES_TIP,BONITET,RAKIM,EGIM,BAKI,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,LOKAL_KONUM,BİTKİ_ÖRTÜSÜ_TÜR,ORTALAMA_BOY,ÖRTME_ORANI,DİĞER_ORTU_TURU,YIL,BLOK
930611,930611,243960,İSTANBUL,ŞİLE,AĞVA,29.87496308,41.05549086,29-09-2020,MDyb2,4,121,33,Güney Doğu,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Orta Yamaç,Süpürge Çalısı,1.7,30,,2020,5
930611,930611,243960,İSTANBUL,ŞİLE,AĞVA,29.87496308,41.05549086,29-09-2020,MDyb2,4,121,33,Güney Doğu,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Orta Yamaç,Diğer Yapraklı,4.5,10,,2020,5
930597,930597,243550,İSTANBUL,ŞİLE,AĞVA,29.83814543,41.02938432,05-10-2019,KsKna3,4,418,41,Güney Batı,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Normal Kapalı,Orta Yamaç,Diğer Yapraklı,1.5,5,,2019,4
930545,930545,232989,İSTANBUL,KANLICA,SULTANBEYLİ ,29.33899589,41.04060263,04-01-2022,Mab3,2,74,1,Düzlük,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Taban,Tavşanmemesi,0.3,1,,2021,1
930545,930545,232989,İSTANBUL,KANLICA,SULTANBEYLİ ,29.33899589,41.04060263,04-01-2022,Mab3,2,74,1,Düzlük,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Taban,Kuşburnu,2,1,,2021,1
930545,930545,232989,İSTANBUL,KANLICA,SULTANBEYLİ ,29.33899589,41.04060263,04-01-2022,Mab3,2,74,1,Düzlük,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Taban,Akçakesme/Kesme,1,1,,2021,1
930545,930545,232989,İSTANBUL,KANLICA,SULTANBEYLİ ,29.33899589,41.04060263,04-01-2022,Mab3,2,74,1,Düzlük,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Taban,Dikenli Sarmaşık,0.15,20,,2021,1
930545,930545,232989,İSTANBUL,KANLICA,SULTANBEYLİ ,29.33899589,41.04060263,04-01-2022,Mab3,2,74,1,Düzlük,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Taban,Böğürtlen,2,20,,2021,1
930541,930541,232969,İSTANBUL,KANLICA,ÖMERLİ,29.34091142,41.09460626,05-10-2019,Ma3,2,45,20,Güney,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Orta Yamaç,Süpürge Çalısı,2,10,,2019,4
930541,930541,232969,İSTANBUL,KANLICA,ÖMERLİ,29.34091142,41.09460626,05-10-2019,Ma3,2,45,20,Güney,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Orta Yamaç,Diğer Yapraklı,3.5,5,,2019,4
930541,930541,232969,İSTANBUL,KANLICA,ÖMERLİ,29.34091142,41.09460626,05-10-2019,Ma3,2,45,20,Güney,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Orta Yamaç,Diğer Yapraklı,0.5,15,,2019,4
930535,930535,232939,İSTANBUL,ŞİLE,SAHİLKÖY,29.34379449,41.17561062,02-01-2022,İs,0,43,3,Düzlük,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Boşluklu Kapalı,Taban,,,,,2021,1
930533,930533,232929,İSTANBUL,ŞİLE,SAHİLKÖY,29.34475813,41.20261178,06-10-2020,Çmc3,2,92,29,Doğu,Karadeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Normal Kapalı,Üst Yamaç,Diğer Yapraklı,3.5,25,,2020,5
930533,930533,232929,İSTANBUL,ŞİLE,SAHİLKÖY,29.34475813,41.20261178,06-10-2020,Çmc3,2,92,29,Doğu,Karadeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Normal Kapalı,Üst Yamaç,Süpürge Çalısı,2.6,26,,2020,5
930533,930533,232929,İSTANBUL,ŞİLE,SAHİLKÖY,29.34475813,41.20261178,06-10-2020,Çmc3,2,92,29,Doğu,Karadeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Normal Kapalı,Üst Yamaç,Diğer Yapraklı,2.1,5,,2020,5
930533,930533,232929,İSTANBUL,ŞİLE,SAHİLKÖY,29.34475813,41.20261178,06-10-2020,Çmc3,2,92,29,Doğu,Karadeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Normal Kapalı,Üst Yamaç,Diğer Yapraklı,2.5,5,,2020,5
930533,930533,232929,İSTANBUL,ŞİLE,SAHİLKÖY,29.34475813,41.20261178,06-10-2020,Çmc3,2,92,29,Doğu,Karadeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Normal Kapalı,Üst Yamaç,Diğer Yapraklı,2,5,,2020,5
930503,930503,226260,İSTANBUL,KANLICA,KARTAL,29.15801801,40.96306925,28-09-2019,BÇm,0,280,7,Güney Doğu,Akdeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Orta Kapalı,Üst Yamaç,Diğer Yapraklı,1.4,4,,2019,4
930503,930503,226260,İSTANBUL,KANLICA,KARTAL,29.15801801,40.96306925,28-09-2019,BÇm,0,280,7,Güney Doğu,Akdeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Orta Kapalı,Üst Yamaç,Süpürge Çalısı,1.5,5,,2019,4
930503,930503,226260,İSTANBUL,KANLICA,KARTAL,29.15801801,40.96306925,28-09-2019,BÇm,0,280,7,Güney Doğu,Akdeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Orta Kapalı,Üst Yamaç,Diğer Yapraklı,0.8,5,,2019,4
930503,930503,226260,İSTANBUL,KANLICA,KARTAL,29.15801801,40.96306925,28-09-2019,BÇm,0,280,7,Güney Doğu,Akdeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Orta Kapalı,Üst Yamaç,Diğer Yapraklı,0.6,40,,2019,4
930503,930503,226260,İSTANBUL,KANLICA,KARTAL,29.15801801,40.96306925,28-09-2019,BÇm,0,280,7,Güney Doğu,Akdeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Orta Kapalı,Üst Yamaç,Diğer Yapraklı,0.8,5,,2019,4
930503,930503,226260,İSTANBUL,KANLICA,KARTAL,29.15801801,40.96306925,28-09-2019,BÇm,0,280,7,Güney Doğu,Akdeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Orta Kapalı,Üst Yamaç,Diğer Yapraklı,0.6,40,,2019,4
930503,930503,226260,İSTANBUL,KANLICA,KARTAL,29.15801801,40.96306925,28-09-2019,BÇm,0,280,7,Güney Doğu,Akdeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Orta Kapalı,Üst Yamaç,Diğer Yapraklı,1.4,4,,2019,4
930503,930503,226260,İSTANBUL,KANLICA,KARTAL,29.15801801,40.96306925,28-09-2019,BÇm,0,280,7,Güney Doğu,Akdeniz kiyi kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Orta Kapalı,Üst Yamaç,Süpürge Çalısı,1.5,5,,2019,4
930497,930497,223210,İSTANBUL,KANLICA,ADALAR,29.04946402,40.91100582,07-10-2020,İs,0,104,26.47286797,Kuzey,Akdeniz kiyi kusagi,Sürgün Kökenli,Açıklık Alan,YAPRAKLI+IBRELI,Boşluklu Kapalı,Orta Yamaç,Diğer Yapraklı,1.5,35,,2020,5
