ORNEK_NO,old_id,new_id,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,LOKAL_KONUM,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,PLANDAKI_MESCERE_TIPI,AKTUEL_MES_TIP,BONITET,BOLME_NO,EGIM,BAKI,RAKIM,PAFTA_NO,UTM_X,UTM_Y,IL_ADI,ILCE_ADI,DILIM_NO,ONCEKI_ARAZI,MEVCUT_ARAZI,STATU_VE_TESCIL,STATUSU,TKGM_2021_,TAPUCINSAC,PARSEL_TUR,ARAZI_KUL,ISLETME_DURUMU,ORMAN_FORMU,MULKIYET,KATLILIK_DURUMU,GELISIM_CAGI,KORUMA_AMACLI_ONLEM,KORUMA_AMACLI_ONLEM_SEKLI,İŞLETME_AMAÇLARI,ADAYA_ANIT_AGACI,ADAY_ANIT_AGACI_TURU,ADAY_ANIT_AGACI_BOY,ADAY_ANIT_AGACI_CAP,ADAY_ANIT_AGACI_UTMX,ADAY_ANIT_AGACI_UTMY,DOGAL_GENCLIK,DAGILIM,DIGER_VEJETASYON_TURU,DIGER_VEJETASYON_TIPI,YUZEYSEL_TASLIK,DIS_TOPRAK,DIS_TOPRAK_ORTULU,DIS_TOPRAK_CIPLAK_DURUMU,OLU_ORTU_TIPI,OLU_ORTU_TIPI_ESAS_TUR_KARISIMI,OLU_ORTU_KALINLIGI_MUL,OLU_ORTU_KALINLIGI_HUMUS,OLU_ORTU_CURUNTULU_MUL,MUTLAK_DERINLIK,FIZYOLOJIK_DERINLIK,H1_HORIZON_TASLIGI,H2_HORIZON_TASLIGI,H3_HORIZON_TASLIGI,H4_HORIZON_TASLIGI,H1_HORIZON_KALINLIGI,H2_HORIZON_KALINLIGI,H3_HORIZON,H4__HORIZON,ANKAYA,ANKAYA_NOT,HEDEF_TURU,HEDEF_TURU_ACIKLAMA,DOGALLIK,ORMAN_ZARARLILARI,YAPRAK_KAYIP_ORANI,ENVANTER_EKIBI,ROPERDEN_ORNEK_ALANA_GIDIS,DIGER_GOZLEM,BAG_1,BAG_2,ENVANTER_TARIHI,YIL,BLOK
2800,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Üst Yamaç,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.410365,41.252003,MlMcab3,MlMcab3,3,152,21,Güney,59,F16-b3,450600,4566900,EDİRNE,Meriç,35,Orman,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,Sosyal Baskılı Alanlar,2,,,,,,Yok,,,,,,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,,"0,60",,95,80,10,15,20,,50,60,36,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,Ormanın altı tavşan memesi ile kaplı. Bakımsız bir orman.,Yoldan 80 m güneyde,,22-07-2020,2020,5
5416,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI,Orta Kapalı,Taban,İSTANBUL,EDİRNE,MERİÇ,26.482616,41.17128,Çkab2,Çkab2,3,420,5,Güney,77,F16-c2,456600,4557900,EDİRNE,Meriç,35,Bilinmiyor,Orman,Statüsüz,,Orman Degil, ,2,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Hayır,,,,,,Yok,,,Yok,5,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Saf İbreli,2,,2,110,110,,5,10,35,,0-5,6-45,4610,Numune Alındı,,Karaçam,Hedef Tür Var,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,Araçdan Noktaya 113 m. 130 Derece de.,-,"Profilden Noktaya 7,2 m. 30 Derece de.",,16-08-2022,2022,2
8634,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,İSTANBUL,EDİRNE,MERİÇ,26.553223,41.306692,Mcab2,Mcab2,3,16,45,Kuzey Doğu,58,F17-a4,462600,4572900,EDİRNE,Meriç,35,Orman,Orman,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Hayır,,,,,,Orta,Heterojen,"söğüt, böğürtlen ,karaçalı,kavak",Bataklık Vejetasyonu,2,Örtülü,Yabanlaşmış,,Çürüntü Mul,Saf Yapraklı,2,,1,110,110,,5,15,40,,20,30,60,Numune Alındı,,,Bilinmiyor,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 230 derece75 metre ,noktanın alt yamacında bataklık yapısı var. çok fazla yabanlaşma var ,"profilden noktaya 70 derece6,11 metre",bataklıktan noktaya 270 derece 8 metre ,182-2021,2021,1
8654,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,YAPRAKLI+YAPRAKLI,Boşluklu Kapalı,Tepe,İSTANBUL,EDİRNE,MERİÇ,26.553591,41.252647,OT,OT,0,83,2,Düzlük,92,F17-a4,462600,4566900,EDİRNE,Meriç,35,Mera/Çayır,Mera/Çayır,Statüsüz,,Orman,ORMAN,1,İSKAN,İşletilmeyen ,Açıklık Alan,Devlet Ormanı,Yok,NA,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Yok,,,Yok,,Örtülü,Yabanlaşmış,,Yok,Yok,,,,110,110+,5,10,5,,30,30,50,,Numune Alınmadı,Ulaşılamadı,"Garip lale, Melez ",Hedef Tür Var,Doğala Uygun,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 274° açı ile 35 m mesafededir.",Yok,"Nokta, toprak profilinden 75° açı ile 3,7 m mesafededir.",,03-08-2023,2023,3
10612,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,IBRELI,Boşluklu Kapalı,Alt Yamaç,İSTANBUL,EDİRNE,LALAPAŞA,26.58527,41.901292,BÇk,BÇk,0,136,28,Doğu,126,E17-a1,465600,4638900,EDİRNE,Lalapaşa,35,Bilinmiyor,Orman,Statüsüz,,Orman,ORMAN,1,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Yok,NA,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Hayır,,,,,,Yok,,,Yok,10,Örtülü,Ölü Örtü Kaplı,,Yok,Yok,,,,65,65,,10,10,,,20,45,,Numune Alınmadı,Ulaşılamadı,,Bilinmiyor,Doğala Uzak,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,YOK,YOK,YOK,,18-07-2021,2021,1
10622,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,İSTANBUL,EDİRNE,LALAPAŞA,26.585445,41.874272,BMl,BMl,0,205,85,Güney Batı,70,E17-a4,465600,4635900,EDİRNE,Merkez,35,Bilinmiyor,Orman,Statülü,Diğer,Orman,ORMAN,1,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Ulusal Sınır ve Stratejik Alanlar,Hayır,,,,,,Yok,,,Yok,70,Örtülü,Yabanlaşmış,,Yok,Yok,,,,80,80+,,,30,60,,,0-40,41+,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Hayvan,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 10 derece açıyla 230 metre uzaklıktadır.",Arazi % 100 kayalık dere yatağının 20 metre üstüne düştü.,"Nokta, profil çukurundan 220 derece açıyla 3 metre uzaklıktadır.",,01-08-2022,2022,2
10796,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.590241,41.117665,Me,Me,0,491,4,Düzlük,45,F17-d4,465600,4551900,EDİRNE,Uzunköprü,35,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Kadastro Dışı Ağaçlık Alan ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,,,,05-08-2020,2020,5
13422,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Boşluklu Kapalı,Taban,İSTANBUL,EDİRNE,EDİRNE,26.622233,41.766316,Z,Z,0,458,20,Dere İçi,101,E17-a4,468600,4623900,EDİRNE,Merkez,35,Ziraat,Orman,Statüsüz,,Orman Degil, , ,ZİRAAT,İşletilmeyen ,Aynıyaşlı Maktalı,Devlet Ormanı,İki Katlı,NA,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Hayır,,,,,,Yok,,,Dere Vejetasyonu,,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,2,,2,110,110,5,5,5,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,İnsan,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 40° açı ile 104 m mesafededir.",Yok,"Nokta, toprak profilinden 308° açı ile 1,6 m mesafededir.",,04-08-2023,2023,3
13653,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Orta Yamaç,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.626282,41.063739,Mzab2,Mzab2,3,495,9,Kuzey Batı,94,F17-d3,468600,4545900,EDİRNE,Uzunköprü,35,Orman,Orman,Statüsüz,,Orman,B. IŞIKLAR DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Yok,B,2,,Sosyal Baskılı Alanlar,2,,,,,,Yok,,,,,,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,,2,,110,110,,2,5,,55,65,45,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,,,05-08-2019,2019,4
16738,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Tepe,İSTANBUL,EDİRNE,LALAPAŞA,26.657316,41.95557,Z,Z,0,142,5,Düzlük,383,E17-a2,471600,4644900,EDİRNE,Lalapaşa,35,Ziraat,Ziraat,Statüsüz,,Orman Degil, ,2,ZİRAAT,Yok,Açıklık Alan,Özel Orman,Yok,NA,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Hayır,,,,,,Yok,Yok,,Yok,,Çıplak,,Yumuşak,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Duzluk,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 220° açı ile 170 m mesafededir.",Yok,Yok,,04-08-2023,2023,3
