ORNEK_NO,old_id,new_id,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,PLANDAKI_MESCERE_TIPI,AKTUEL_MES_TIP,BONITET,BOLME_NO,EGIM,BAKI,RAKIM,UTM_X,UTM_Y,IL_ADI,ILCE_ADI,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,LOKAL_KONUM,ONCEKI_ARAZI,MEVCUT_ARAZI,STATU_VE_TESCIL,STATUSU,TKGM_2021_,TAPUCINSAC,PARSEL_TUR,ARAZI_KUL,ISLETME_DURUMU,ORMAN_FORMU,MULKIYET,KATLILIK_DURUMU,GELISIM_CAGI,KORUMA_AMACLI_ONLEM,KORUMA_AMACLI_ONLEM_SEKLI,İŞLETME_AMAÇLARI,DOGAL_GENCLIK,DAGILIM,DIGER_VEJETASYON_TURU,DIGER_VEJETASYON_TIPI,YUZEYSEL_TASLIK,DIS_TOPRAK,DIS_TOPRAK_ORTULU,DIS_TOPRAK_CIPLAK_DURUMU,OLU_ORTU_TIPI,OLU_ORTU_TIPI_ESAS_TUR_KARISIMI,OLU_ORTU_KALINLIGI_MUL,OLU_ORTU_KALINLIGI_HUMUS,OLU_ORTU_CURUNTULU_MUL,ENVANTER_EKIBI,ENVANTER_TARIHI,YIL,BLOK,INTERSEPSIYON,TRANSPIRASYON,EVAPORASYON,KAYIP,VERIM,ORT_YAGIS,ORT_SICAKLIK
2800,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.410365,41.252003,MlMcab3,MlMcab3,3,152,21,Güney,59,450600,4566900,Edirne,Meriç,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Üst Yamaç,Orman,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,Sosyal Baskılı Alanlar,Yok,,,,,,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,,"0,60",,ERGİN ÇAĞATAY ÇANKAYA,22-07-2020,2020,5,44.895,47.355,107.625,199.875,415.125,615,13.6
5416,,,İSTANBUL,EDİRNE,MERİÇ,26.482616,41.17128,Çkab2,Çkab2,3,420,5,Güney,77,456600,4557900,Edirne,Meriç,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI,Orta Kapalı,Taban,Bilinmiyor,Orman,Statüsüz,,Orman Degil, ,2,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Yok,,,Yok,5,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Saf İbreli,2,,2,ERGİN ÇAĞATAY ÇANKAYA,16-08-2022,2022,2,46.282,48.818,110.95,206.05,427.95,634,13.4
8634,,,İSTANBUL,EDİRNE,MERİÇ,26.553223,41.306692,Mcab2,Mcab2,3,16,45,Kuzey Doğu,58,462600,4572900,Edirne,Meriç,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,Orman,Orman,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Orta,Heterojen,"söğüt, böğürtlen ,karaçalı,kavak",Bataklık Vejetasyonu,2,Örtülü,Yabanlaşmış,,Çürüntü Mul,Saf Yapraklı,2,,1,ERGİN ÇAĞATAY ÇANKAYA,18-12-2021,2021,1,24.57,25.83,110.25,160.65,469.35,630,13.5
8654,,,İSTANBUL,EDİRNE,MERİÇ,26.553591,41.252647,OT,OT,0,83,2,Düzlük,92,462600,4566900,Edirne,Meriç,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,YAPRAKLI+YAPRAKLI,Boşluklu Kapalı,Tepe,Mera/Çayır,Mera/Çayır,Statüsüz,,Orman,ORMAN,1,İSKAN,İşletilmeyen ,Açıklık Alan,Devlet Ormanı,Yok,,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Yok,,,Yok,,Örtülü,Yabanlaşmış,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,03-08-2023,2023,3,24.96,26.24,112,163.2,476.8,640,13.3
10612,,,İSTANBUL,EDİRNE,LALAPAŞA,26.58527,41.901292,BÇk,BÇk,0,136,28,Doğu,126,465600,4638900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,IBRELI,Boşluklu Kapalı,Alt Yamaç,Bilinmiyor,Orman,Statüsüz,,Orman,ORMAN,1,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Yok,,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Yok,,,Yok,10,Örtülü,Ölü Örtü Kaplı,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,18-07-2021,2021,1,23.829,25.051,106.925,155.805,455.195,611,12.8
10622,,,İSTANBUL,EDİRNE,LALAPAŞA,26.585445,41.874272,BMl,BMl,0,205,85,Güney Batı,70,465600,4635900,Edirne,Merkez,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,Bilinmiyor,Orman,Statülü,Diğer,Orman,ORMAN,1,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,,Koruma Amaçlı Önlem Yok,,Ulusal Sınır ve Stratejik Alanlar,Yok,,,Yok,70,Örtülü,Yabanlaşmış,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,01-08-2022,2022,2,23.4,24.6,105,153,447,600,13.1
10796,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.590241,41.117665,Me,Me,0,491,4,Düzlük,45,465600,4551900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Kadastro Dışı Ağaçlık Alan ,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,05-08-2020,2020,5,25.038,26.322,112.35,163.71,478.29,642,13.6
13422,,,İSTANBUL,EDİRNE,EDİRNE,26.622233,41.766316,Z,Z,0,458,20,Dere İçi,101,468600,4623900,Edirne,Merkez,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Boşluklu Kapalı,Taban,Ziraat,Orman,Statüsüz,,Orman Degil, ,,ZİRAAT,İşletilmeyen ,Aynıyaşlı Maktalı,Devlet Ormanı,İki Katlı,,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Yok,,,Dere Vejetasyonu,,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,2,,2,ERGİN ÇAĞATAY ÇANKAYA,04-08-2023,2023,3,23.244,24.436,104.3,151.98,444.02,596,13.4
13653,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.626282,41.063739,Mzab2,Mzab2,3,495,9,Kuzey Batı,94,468600,4545900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Orta Yamaç,Orman,Orman,Statüsüz,,Orman,B. IŞIKLAR DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Yok,B,2,,Sosyal Baskılı Alanlar,Yok,,,,,,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,,2,,ERGİN ÇAĞATAY ÇANKAYA,05-08-2019,2019,4,47.742,50.358,114.45,212.55,441.45,654,13.5
16738,,,İSTANBUL,EDİRNE,LALAPAŞA,26.657316,41.95557,Z,Z,0,142,5,Düzlük,383,471600,4644900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Tepe,Ziraat,Ziraat,Statüsüz,,Orman Degil, ,2,ZİRAAT,Yok,Açıklık Alan,Özel Orman,Yok,,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Yok,Yok,,Yok,,Çıplak,,Yumuşak,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,04-08-2023,2023,3,24.648,25.912,110.6,161.16,470.84,632,12.1
