ORNEK_NO,new_id,old_id,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,AKTUEL_MES_TIP,BONITET,ENVANTER_TARIHI,PLANDAKI_MESCERE_TIPI,BOLME_NO,LOKAL_KONUM,EGIM,BAKI,RAKIM,DOGAL_GENCLIK,DAGILIM,DIGER_VEJETASYON_TURU,DIGER_VEJETASYON_TIPI,ANKAYA,ANKAYA_NOT,YUZEYSEL_TASLIK,DIS_TOPRAK,DIS_TOPRAK_ORTULU,DIS_TOPRAK_CIPLAK_DURUMU,OLU_ORTU_TIPI,OLU_ORTU_TIPI_ESAS_TUR_KARISIMI,OLU_ORTU_KALINLIGI_MUL,OLU_ORTU_KALINLIGI_HUMUS,OLU_ORTU_CURUNTULU_MUL,MUTLAK_DERINLIK,FIZYOLOJIK_DERINLIK,H1_HORIZON_TASLIGI,H2_HORIZON_TASLIGI,H3_HORIZON_TASLIGI,H4_HORIZON_TASLIGI,Horizon,pH,EC_mS_cm,Toplam_Kirec,Organik_Madde,Organik_Karbon,Kum,Kil,Toz,TOPRAK_TURU,Mutlak_Kuruda_Toplam_Agirlik,Mutlak_Kuruda_Tas_Agirligi,Hacim_Agirligi,Silindir_Çap,Silindir_Boy,Silindir_Hacmi,H1_HORIZON_KALINLIGI,H2_HORIZON_KALINLIGI,H3_HORIZON_KALINLIGI,H4_HORIZON_KALINLIGI,YIL,BLOK,horizon_kalinlik,organik_karbon_stok_ton_ha,organik_madde_stok_ton_ha,toplam_kirec_stok_ton_ha,kum_stok_ton_ha,kil_stok_ton_ha,toz_stok_ton_ha,organik_karbon_stok_ton,organik_madde_stok_ton,toplam_kirec_stok_ton,kum_stok_ton,kil_stok_ton,toz_stok_ton,organik_madde_ton,organik_karbon_ton
2800,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.410365,41.252003,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,MlMcab3,3,22-07-2020,MlMcab3,152,Orta Kapalı,21,Güney,59,,,,,Numune Alınmadı,Ulaşılamadı,,,Ölü Örtü Kaplı,0,Ham Humus,Saf Yapraklı,,"0,60",,95,80,10,15,20,0,A,6.49,0.04,0.01,2.2,1.28,63.91,17.84,18.25,Kumlu Balçık,1164.6,405.1,1.1646,10.8,11,1007.1864,50,60,36,0,2020,5,30,44.72064,76.8636,0.34938,2232.88758,623.29392,637.6185,4.472064,7.68636,0.034938,223.288758,62.329392,63.76185,9.786906,5.705718
2800,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.410365,41.252003,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,MlMcab3,3,22-07-2020,MlMcab3,152,Orta Kapalı,21,Güney,59,,,,,Numune Alınmadı,Ulaşılamadı,,,Ölü Örtü Kaplı,0,Ham Humus,Saf Yapraklı,,"0,60",,95,80,10,15,20,0,B,6.17,0.04,0.01,0.63,0.37,63.58,28.24,8.18,Kumlu Killi Balçık,1111.4,480.1,1.1114,10.8,11,1007.1864,50,60,36,0,2020,5,30,12.33654,21.00546,0.33342,2119.88436,941.57808,272.73756,1.233654,2.100546,0.033342,211.988436,94.157808,27.273756,9.786906,5.705718
8634,,,İSTANBUL,EDİRNE,MERİÇ,26.553223,41.306692,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Mcab2,3,18-12-2021,Mcab2,16,Boşluklu Kapalı,45,Kuzey Doğu,58,Yok,,,,Numune Alındı,Ulaşıldı,2,Örtülü,Yabanlaşmış,2,Çürüntü Mul,Saf Yapraklı,2,,1,110,110,0,5,15,40,A,7.22,0.125,0.282912801,1.350054217,0.675027108,20.6833435,30.50640635,48.81025015,Kil,797,13,0.778406063,10.8,11,1007.1864,0,20,30,60,2021,1,30,15.76335581,31.52671162,6.606631196,483.0011994,712.3911495,1139.825839,1.576335581,3.152671162,0.66066312,48.30011994,71.23911495,113.9825839,4.718021548,2.359010774
8634,,,İSTANBUL,EDİRNE,MERİÇ,26.553223,41.306692,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Mcab2,3,18-12-2021,Mcab2,16,Boşluklu Kapalı,45,Kuzey Doğu,58,Yok,,,,Numune Alındı,Ulaşıldı,2,Örtülü,Yabanlaşmış,2,Çürüntü Mul,Saf Yapraklı,2,,1,110,110,0,5,15,40,B,7.5,0.0801,0.28296846,0.330831685,0.165415842,73.55573637,18.30756713,8.136696501,Kumlu balçık,1032,0,1.024636552,10.8,11,1007.1864,0,20,30,60,2021,1,30,5.084733553,10.16946711,8.698194818,2261.036883,562.7580737,250.1146994,0.508473355,1.016946711,0.869819482,226.1036883,56.27580737,25.01146994,4.718021548,2.359010774
8634,,,İSTANBUL,EDİRNE,MERİÇ,26.553223,41.306692,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Mcab2,3,18-12-2021,Mcab2,16,Boşluklu Kapalı,45,Kuzey Doğu,58,Orta,Heterojen,"söğüt, böğürtlen ,karaçalı,kavak",Bataklık Vejetasyonu,Numune Alındı,Ulaşıldı,2,Örtülü,Yabanlaşmış,2,Çürüntü Mul,Saf Yapraklı,2,,1,110,110,0,5,15,40,C,8.05,0.073,8.001684601,0.185599705,0.092799853,83.68013056,8.159934721,8.159934721,Balçıklı kum,995,3,0.984921957,10.8,11,1007.1864,0,20,30,60,2021,1,30,2.742018376,5.484036753,236.4310457,2472.551938,241.1069662,241.1069662,0.274201838,0.548403675,23.64310457,247.2551938,24.11069662,24.11069662,4.718021548,2.359010774
13653,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.626282,41.063739,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Mzab2,3,05-08-2019,Mzab2,495,Orta Kapalı,9,Kuzey Batı,94,Orta,Heterojen,"söğüt, böğürtlen ,karaçalı,kavak",Bataklık Vejetasyonu,Numune Alınmadı,Ulaşılamadı,,,Ölü Örtü Kaplı,0,Ham Humus,Saf Yapraklı,,2,,110,110,0,2,5,0,A,7.86,0.13,0.95,2.52,1.46,18.28,43.81,37.91,Kil,1152.1,25.7,1.1521,10.8,11,1007.1864,55,65,45,0,2019,4,30,50.46198,87.09876,32.83485,631.81164,1514.20503,1310.28333,5.046198,8.709876,3.283485,63.181164,151.420503,131.028333,11.780118,6.831951
13653,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.626282,41.063739,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Mzab2,3,05-08-2019,Mzab2,495,Orta Kapalı,9,Kuzey Batı,94,Orta,Heterojen,"söğüt, böğürtlen ,karaçalı,kavak",Bataklık Vejetasyonu,Numune Alınmadı,Ulaşılamadı,,,Ölü Örtü Kaplı,0,Ham Humus,Saf Yapraklı,,2,,110,110,0,2,5,0,B,8.1,0.11,23.6,0.98,0.57,29.81,32.81,37.38,Killi Balçık,1044.3,59.4,1.0443,10.8,11,1007.1864,55,65,45,0,2019,4,30,17.85753,30.70242,739.3644,933.91749,1027.90449,1171.07802,1.785753,3.070242,73.93644,93.391749,102.790449,117.107802,11.780118,6.831951
16748,,,İSTANBUL,EDİRNE,EDİRNE,26.657461,41.92855,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Gevşek Kapalı,Çka0,2,23-07-2019,Çka0,141,Gevşek Kapalı,13,Doğu,270,Yok,,,,Numune Alınmadı,Ulaşılamadı,10,,Ölü Örtü Kaplı,10,Ham Humus,Saf Yapraklı,,"0,20",,65,65,5,10,10,0,A,6.61,0.04,0.01,3.16,1.83,57.72,11.79,30.49,Kumlu Balçık,1205.1,348.2,1.2051,10.8,11,1007.1864,10,20,45,0,2019,4,30,66.15999,114.24348,0.36153,2086.75116,426.24387,1102.30497,6.615999,11.424348,0.036153,208.675116,42.624387,110.230497,14.189058,8.209773
16748,,,İSTANBUL,EDİRNE,EDİRNE,26.657461,41.92855,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Gevşek Kapalı,Çka0,2,23-07-2019,Çka0,141,Gevşek Kapalı,13,Doğu,270,Yok,,,,Numune Alınmadı,Ulaşılamadı,10,,Ölü Örtü Kaplı,10,Ham Humus,Saf Yapraklı,,"0,20",,65,65,5,10,10,0,B,6.94,0.03,0.04,0.85,0.49,65.75,11.82,22.43,Kumlu Balçık,1084.2,132.7,1.0842,10.8,11,1007.1864,10,20,45,0,2019,4,30,15.93774,27.6471,1.30104,2138.5845,384.45732,729.55818,1.593774,2.76471,0.130104,213.85845,38.445732,72.955818,14.189058,8.209773
20212,,,İSTANBUL,EDİRNE,EDİRNE,26.693515,41.955672,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Mlab2,1,23-07-2020,Mlab2,71,Orta Kapalı,10,Kuzey,413,Yok,,,,Numune Alınmadı,Ulaşılamadı,1,,Ölü Örtü Kaplı,1,Ham Humus,Saf Yapraklı,,"0,20",,95,95,0,2,5,0,A,5.95,0.02,0.03,1.32,0.77,45.68,21.89,32.43,Balçık,1369.3,106.3,1.3693,10.8,11,1007.1864,55,65,35,0,2020,5,30,31.63083,54.22428,1.23237,1876.48872,899.21931,1332.19197,3.163083,5.422428,0.123237,187.648872,89.921931,133.219197,7.205148,4.203003
